trial,treatment,year,location,state,lon,lat,n,sev,yield,max_yield,yield_class
1,1,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,38.8,2838,4312,high
1,2,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,31.2,3149,4312,high
1,3,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,16.6,3366,4312,high
1,4,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,18.9,3484,4312,high
1,5,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,19.5,3600,4312,high
1,6,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,11.4,3564,4312,high
1,7,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,13.9,3735,4312,high
1,8,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,12.4,3802,4312,high
1,9,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,3.5,4312,4312,high
2,10,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,34.9,3085,5055,high
2,11,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,27.1,3280,5055,high
2,12,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,17.5,3988,5055,high
2,13,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,12.8,3942,5055,high
2,14,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,15.3,4250,5055,high
2,15,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,15.7,4176,5055,high
2,16,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,9.4,4333,5055,high
2,17,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,5.9,4692,5055,high
2,18,2000,Passo Fundo,RS,-52.40666667,-28.26277778,9,3.1,5055,5055,high
3,19,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,38.8,2838,4312,high
3,21,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,19.01,3484,4312,high
3,22,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,17.46,3625,4312,high
3,23,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,20.95,3578,4312,high
3,24,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,14.74,3614,4312,high
3,25,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,14.74,3440,4312,high
3,26,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,16.3,3573,4312,high
3,27,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,3.49,4312,4312,high
4,28,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,34.9,3085,5055,high
4,30,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,18.85,3942,5055,high
4,31,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,12.91,3921,5055,high
4,32,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,20.24,3949,5055,high
4,33,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,13.96,3957,5055,high
4,34,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,18.15,4047,5055,high
4,35,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,17.8,3991,5055,high
4,36,2000,Passo Fundo,RS,-52.40666667,-28.26277778,8,3.14,5055,5055,high
5,37,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,5.93,4984,5666,high
5,38,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,0.72,5302,5666,high
5,39,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.74,5157,5666,high
5,40,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,0.73,5666,5666,high
5,41,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.79,5208,5666,high
5,42,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.35,5240,5666,high
5,43,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.99,4996,5666,high
5,44,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.82,5208,5666,high
5,45,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.88,5157,5666,high
5,46,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,2.76,5051,5666,high
5,47,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,2.41,5145,5666,high
5,48,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,1.5,5037,5666,high
5,49,2004,Muitos Cap?es,RS,-51.18166667,-28.31416667,13,3.39,5158,5666,high
6,50,2005,Lages,SC,-50.32611111,-27.81611111,6,12.71,1835,2379,low
6,51,2005,Lages,SC,-50.32611111,-27.81611111,6,3.36,2322,2379,low
6,52,2005,Lages,SC,-50.32611111,-27.81611111,6,3.66,2379,2379,low
6,53,2005,Lages,SC,-50.32611111,-27.81611111,6,3.73,2320,2379,low
6,54,2005,Lages,SC,-50.32611111,-27.81611111,6,3.77,2261,2379,low
6,55,2005,Lages,SC,-50.32611111,-27.81611111,6,3.78,2123,2379,low
7,83,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,7.3,2764,3631,low
7,84,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,6.5,3115,3631,low
7,85,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,3.8,3631,3631,low
7,86,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,2.7,2723,3631,low
7,87,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,2.1,2567,3631,low
7,88,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,2.1,2666,3631,low
7,89,2009,Cruz Alta,RS,-53.60638889,-28.63861111,7,3.1,3001,3631,low
8,90,2009,Passo Fundo,RS,-52.40666667,-28.26277778,7,5,1283,2935,low
